1	1	1	1
1	2	2	1
1	3	2	1
1	1	3	1
1	1	4	1
1	1	5	1
2	4	6	1
3	4	6	1
4	4	6	1
5	4	6	1
6	4	6	1
7	4	6	1
8	4	6	1
2	5	7	1
9	5	7	1
10	5	7	1
11	5	7	1
12	5	7	1
13	5	7	1
14	5	7	1
15	5	7	1
7	5	7	1
16	5	7	1
17	5	7	1
18	5	7	1
19	5	7	1
20	5	7	1
21	5	7	1
2	6	2	1
22	6	2	1
14	6	2	1
2	7	8	1
23	7	8	1
24	7	8	1
11	7	8	1
25	7	8	1
26	7	8	1
27	7	8	1
3	7	8	1
28	7	8	1
29	7	8	1
12	7	8	1
14	7	8	1
5	7	8	1
30	7	8	1
15	7	8	1
8	7	8	1
31	7	8	1
16	7	8	1
32	7	8	1
33	7	8	1
34	7	8	1
35	7	8	1
36	7	8	1
2	8	8	1
3	8	8	1
37	8	8	1
28	8	8	1
12	8	8	1
13	8	8	1
14	8	8	1
4	8	8	1
5	8	8	1
15	8	8	1
8	8	8	1
38	8	8	1
16	8	8	1
36	8	8	1
2	9	9	1
2	6	10	1
22	6	10	1
14	6	10	1
39	6	10	1
40	6	10	1
2	10	10	1
3	10	10	1
12	10	10	1
14	10	10	1
4	10	10	1
5	10	10	1
6	10	10	1
15	10	10	1
7	10	10	1
8	10	10	1
16	10	10	1
17	10	10	1
19	10	10	1
2	4	11	1
3	4	11	1
4	4	11	1
5	4	11	1
7	4	11	1
31	4	11	1
16	4	11	1
2	8	11	1
3	8	11	1
12	8	11	1
13	8	11	1
14	8	11	1
4	8	11	1
5	8	11	1
15	8	11	1
7	8	11	1
38	8	11	1
41	8	11	1
16	8	11	1
42	8	11	1
2	8	12	1
3	8	12	1
13	8	12	1
14	8	12	1
15	8	12	1
7	8	12	1
19	8	12	1
42	8	12	1
43	8	12	1
44	8	12	1
2	9	13	1
45	9	13	1
21	9	13	1
2	7	13	1
24	7	13	1
46	7	13	1
25	7	13	1
26	7	13	1
27	7	13	1
47	7	13	1
3	7	13	1
28	7	13	1
29	7	13	1
12	7	13	1
14	7	13	1
5	7	13	1
6	7	13	1
30	7	13	1
15	7	13	1
7	7	13	1
8	7	13	1
31	7	13	1
16	7	13	1
21	7	13	1
36	7	13	1
48	7	13	1
2	11	13	1
9	11	13	1
10	11	13	1
3	11	13	1
28	11	13	1
12	11	13	1
14	11	13	1
5	11	13	1
6	11	13	1
15	11	13	1
7	11	13	1
8	11	13	1
16	11	13	1
17	11	13	1
20	11	13	1
49	11	13	1
21	11	13	1
48	11	13	1
50	11	13	1
2	12	14	1
10	12	14	1
12	12	14	1
14	12	14	1
5	12	14	1
7	12	14	1
8	12	14	1
16	12	14	1
21	12	14	1
2	6	14	1
22	6	14	1
14	6	14	1
39	6	14	1
21	6	14	1
2	8	14	1
3	8	14	1
37	8	14	1
28	8	14	1
12	8	14	1
13	8	14	1
14	8	14	1
4	8	14	1
5	8	14	1
15	8	14	1
7	8	14	1
8	8	14	1
38	8	14	1
16	8	14	1
21	8	14	1
36	8	14	1
42	8	14	1
43	8	14	1
2	9	15	1
2	5	15	1
10	5	15	1
5	5	15	1
6	5	15	1
8	5	15	1
16	5	15	1
2	11	15	1
10	11	15	1
28	11	15	1
5	11	15	1
6	11	15	1
8	11	15	1
16	11	15	1
2	4	16	1
4	4	16	1
36	4	16	1
2	13	16	1
4	13	16	1
15	13	16	1
2	11	16	1
9	11	16	1
10	11	16	1
28	11	16	1
15	11	16	1
2	4	17	1
8	4	17	1
31	4	17	1
16	4	17	1
36	4	17	1
2	14	18	1
10	14	18	1
12	14	18	1
5	14	18	1
6	14	18	1
15	14	18	1
7	14	18	1
16	14	18	1
19	14	18	1
2	9	19	1
2	13	20	1
3	13	20	1
4	13	20	1
5	13	20	1
15	13	20	1
8	13	20	1
16	13	20	1
2	10	21	1
14	10	21	1
7	10	21	1
16	10	21	1
2	7	22	1
23	7	22	1
26	7	22	1
30	7	22	1
32	7	22	1
2	4	23	1
3	4	23	1
4	4	23	1
5	4	23	1
6	4	23	1
7	4	23	1
8	4	23	1
31	4	23	1
16	4	23	1
36	4	23	1
2	7	24	1
26	7	24	1
36	7	24	1
2	5	25	1
5	5	25	1
7	5	25	1
2	4	26	1
3	4	26	1
4	4	26	1
5	4	26	1
8	4	26	1
31	4	26	1
16	4	26	1
36	4	26	1
2	13	26	1
3	13	26	1
4	13	26	1
5	13	26	1
15	13	26	1
8	13	26	1
16	13	26	1
2	8	26	1
3	8	26	1
4	8	26	1
5	8	26	1
15	8	26	1
8	8	26	1
38	8	26	1
16	8	26	1
21	8	26	1
36	8	26	1
43	8	26	1
2	5	27	1
9	5	27	1
10	5	27	1
11	5	27	1
15	5	27	1
8	5	27	1
16	5	27	1
51	15	28	1
51	15	29	1
51	15	30	1
51	15	31	1
51	15	32	1
52	16	2	1
53	16	2	1
54	16	2	1
55	16	2	1
23	17	33	1
23	17	2	1
23	18	2	1
23	17	8	1
23	18	34	1
23	17	35	1
23	17	36	1
23	17	37	1
23	17	38	1
23	17	39	1
23	7	40	1
26	7	40	1
28	7	40	1
5	7	40	1
30	7	40	1
33	7	40	1
34	7	40	1
23	17	41	1
23	17	42	1
23	17	43	1
23	17	22	1
23	17	44	1
23	17	45	1
23	17	46	1
23	17	47	1
23	17	48	1
56	19	10	1
56	20	30	1
56	20	49	1
57	20	49	1
9	21	35	1
58	21	35	1
59	21	35	1
17	21	35	1
60	21	35	1
61	21	35	1
62	21	35	1
34	21	35	1
21	21	35	1
9	22	50	1
58	22	50	1
9	22	36	1
58	22	36	1
9	21	36	1
58	21	36	1
17	21	36	1
61	21	36	1
62	21	36	1
34	21	36	1
9	21	51	1
58	21	51	1
59	21	51	1
17	21	51	1
60	21	51	1
61	21	51	1
62	21	51	1
34	21	51	1
9	21	52	1
58	21	52	1
17	21	52	1
61	21	52	1
62	21	52	1
34	21	52	1
21	21	52	1
9	11	53	1
10	11	53	1
11	11	53	1
9	5	54	1
10	5	54	1
16	5	54	1
63	23	6	1
64	23	6	1
65	23	6	1
15	23	6	1
63	24	13	1
64	24	13	1
65	24	13	1
15	24	13	1
60	24	13	1
66	24	13	1
67	24	13	1
43	24	13	1
68	24	13	1
69	24	13	1
63	25	13	1
64	25	13	1
65	25	13	1
15	25	13	1
60	25	13	1
66	25	13	1
67	25	13	1
43	25	13	1
68	25	13	1
70	25	13	1
69	25	13	1
63	26	55	1
64	26	55	1
65	26	55	1
60	26	55	1
66	26	55	1
67	26	55	1
43	26	55	1
63	25	55	1
64	25	55	1
65	25	55	1
60	25	55	1
66	25	55	1
67	25	55	1
43	25	55	1
70	25	55	1
63	27	15	1
60	27	15	1
67	27	15	1
43	27	15	1
69	27	15	1
63	28	15	1
60	28	15	1
67	28	15	1
43	28	15	1
69	28	15	1
63	24	16	1
65	24	16	1
15	24	16	1
60	24	16	1
66	24	16	1
67	24	16	1
43	24	16	1
63	29	54	1
63	28	54	1
63	23	56	1
