0,0
0,1
0,2
1,3
2,3
3,3
4,3
5,3
6,3
7,3
15,3
30,3
35,3
70,3
1,4
4,4
5,4
6,4
7,4
8,4
9,4
10,4
11,4
12,4
13,4
14,4
15,4
16,4
17,4
18,4
19,4
20,4
47,4
1,5
13,5
20,5
21,5
38,5
39,5
1,6
2,6
4,6
5,6
6,6
7,6
10,6
11,6
13,6
14,6
15,6
20,6
22,6
23,6
24,6
25,6
26,6
27,6
28,6
29,6
30,6
31,6
32,6
33,6
34,6
35,6
45,6
46,6
47,6
1,7
2,7
3,7
4,7
5,7
6,7
7,7
11,7
12,7
13,7
14,7
15,7
18,7
20,7
27,7
35,7
36,7
37,7
40,7
41,7
42,7
43,7
47,7
1,8
20,8
44,8
1,9
2,9
3,9
4,9
5,9
6,9
7,9
9,9
10,9
11,9
13,9
14,9
15,9
16,9
17,9
18,9
19,9
20,9
47,9
1,10
2,10
4,10
5,10
6,10
7,10
8,10
9,10
10,10
11,10
13,10
14,10
15,10
16,10
18,10
19,10
20,10
27,10
47,10
48,10
49,10
1,11
4,11
5,11
6,11
7,11
9,11
10,11
11,11
13,11
15,11
18,11
20,11
47,11
1,12
2,12
3,12
4,12
6,12
7,12
13,12
14,12
15,12
1,13
4,13
5,13
6,13
7,13
9,13
10,13
11,13
13,13
14,13
15,13
18,13
19,13
20,13
47,13
50,14
51,15
52,15
53,15
54,15
22,16
22,17
55,18
55,19
56,19
8,20
16,20
20,20
33,20
42,20
57,20
58,20
59,20
60,20
61,20
110,20
8,21
20,21
42,21
57,21
58,21
110,21
14,22
42,22
59,22
62,22
63,22
64,22
65,22
66,22
67,22
68,22
14,23
42,23
59,23
62,23
63,23
64,23
65,23
66,23
67,23
68,23
14,24
42,24
59,24
62,24
63,24
64,24
65,24
66,24
67,24
68,24
69,24
42,25
59,25
62,25
63,25
64,25
65,25
66,25
67,25
68,25
42,26
59,26
62,26
63,26
64,26
65,26
66,26
67,26
68,26
42,27
59,27
62,27
63,27
64,27
65,27
66,27
67,27
68,27
14,28
42,28
59,28
62,28
63,28
64,28
65,28
66,28
67,28
68,28
14,29
42,29
59,29
62,29
63,29
64,29
65,29
66,29
67,29
68,29
42,30
59,30
62,30
63,30
64,30
65,30
66,30
67,30
68,30
42,31
59,31
62,31
63,31
64,31
65,31
66,31
67,31
68,31
2,32
3,32
4,32
6,32
7,32
14,32
15,32
30,32
35,32
42,32
45,32
47,32
49,32
70,32
71,32
72,32
2,33
3,33
4,33
5,33
6,33
7,33
9,33
11,33
14,33
15,33
20,33
26,33
27,33
30,33
35,33
42,33
45,33
46,33
47,33
49,33
65,33
70,33
71,33
72,33
73,33
74,33
75,33
76,33
77,34
78,34
79,34
80,34
81,34
82,34
83,35
2,36
6,36
9,36
13,36
30,36
45,36
84,36
9,37
85,38
85,39
4,40
16,40
20,40
44,40
86,40
25,41
51,41
86,41
87,41
25,42
88,42
89,43
26,44
90,44
91,44
92,44
26,45
90,45
91,45
2,46
3,46
7,46
14,46
15,46
30,46
46,46
70,46
71,46
74,46
76,46
42,47
93,47
94,47
95,47
93,48
93,49
93,50
93,51
95,51
93,52
94,52
93,53
93,54
2,55
7,55
14,55
15,55
30,55
46,55
70,55
71,55
87,56
96,56
97,56
98,56
99,56
100,56
101,57
101,58
101,59
102,60
103,60
104,60
105,61
105,62
103,63
104,63
106,63
103,64
103,65
17,66
102,66
103,66
104,66
14,67
42,67
59,67
62,67
63,67
64,67
65,67
66,67
67,67
68,67
6,68
6,69
70,69
97,70
97,71
99,71
97,72
97,73
97,74
97,75
107,76
19,77
38,77
108,77
109,77
117,77
77,78
78,78
79,78
81,78
95,78
110,78
110,79
110,80
93,81
94,81
95,81
111,82
112,83
113,83
114,83
70,84
88,85
113,86
44,87
20,88
44,88
54,89
42,90
59,90
62,90
63,90
64,90
65,90
66,90
67,90
68,90
115,91
112,92
114,92
20,93
20,94
44,94
116,95
118,96
119,97
120,98
120,99
121,99
120,100
121,100
122,101
123,102
104,103
